en_canonical,zh_canonical,abbr,first_mention_style,variant (錯誤用法)
EMG,肌電圖,nan,ZH(EN),nan
PTS,旋前圓肌症候群,nan,ZH(EN),nan
CTS,腕隧道症候群,nan,ZH(EN),nan
CTS,例如腕隧道症,nan,ZH(EN),nan
Pronator compression test,旋前肌壓迫測試,nan,ZH(EN),nan
MN,在正中神經,nan,ZH(EN),nan
paresthesias,常感覺,nan,ZH(EN),nan
Provocative forearm movements,前臂誘發動作測試,nan,ZH(EN),nan
proximal interphalangeal joint,中指近端指間關節,nan,ZH(EN),nan
MN,腕正中神經,nan,ZH(EN),nan
Phalen test,測試,nan,ZH(EN),nan
CTS,隧道症候群,nan,ZH(EN),nan
Pronator Teres,旋前圓肌,nan,ZH(EN),nan
medial epicondyle of humerus,從肱骨內上髁,nan,ZH(EN),nan
coronoid process of ulna,和尺骨冠狀突,nan,ZH(EN),nan
Origin,起始點,nan,ZH(EN),nan
Insertion,終點,nan,ZH(EN),nan
Pronator Teres muscle,旋前圓肌,nan,ZH(EN),nan
medial epicondyle of humerus,肱骨內上髁,nan,ZH(EN),nan
coronoid process of ulna,尺骨冠狀突,nan,ZH(EN),nan
Palmaris Longus muscle,掌長肌,nan,ZH(EN),nan
palmar aponeurosis,掌腱膜,nan,ZH(EN),nan
Flexor Carpi Radialis muscle,屈腕橈肌,nan,ZH(EN),nan
base of 2nd and 3rd metacarpals,掌骨底,nan,ZH(EN),nan
pronation,聯盟棒球員在前臂旋前,nan,ZH(EN),nan
GER,肩關節外旋,nan,ZH(EN),nan
TAM,與總活動度,nan,ZH(EN),nan
TAMP,和總活動度,nan,ZH(EN),nan
biceps brachii,頭肌,nan,ZH(EN),nan
GERN,僅測量中立位外旋,nan,ZH(EN),nan
EMG,肌電圖,,ZH(EN),
PTS,旋前圓肌症候群,,ZH(EN),
CTS,腕隧道症候群,,ZH(EN),
CTS,例如腕隧道症,,ZH(EN),
Pronator compression test,旋前肌壓迫測試,,ZH(EN),
MN,在正中神經,,ZH(EN),
paresthesias,常感覺,,ZH(EN),
Provocative forearm movements,前臂誘發動作測試,,ZH(EN),
proximal interphalangeal joint,中指近端指間關節,,ZH(EN),
MN,腕正中神經,,ZH(EN),
Phalen test,測試,,ZH(EN),
CTS,隧道症候群,,ZH(EN),
Pronator Teres,旋前圓肌,,ZH(EN),
medial epicondyle of humerus,從肱骨內上髁,,ZH(EN),
coronoid process of ulna,和尺骨冠狀突,,ZH(EN),
Origin,起始點,,ZH(EN),
Insertion,終點,,ZH(EN),
Pronator Teres muscle,旋前圓肌,,ZH(EN),
medial epicondyle of humerus,肱骨內上髁,,ZH(EN),
coronoid process of ulna,尺骨冠狀突,,ZH(EN),
Palmaris Longus muscle,掌長肌,,ZH(EN),
palmar aponeurosis,掌腱膜,,ZH(EN),
Flexor Carpi Radialis muscle,屈腕橈肌,,ZH(EN),
base of 2nd and 3rd metacarpals,掌骨底,,ZH(EN),
pronation,聯盟棒球員在前臂旋前,,ZH(EN),
GER,肩關節外旋,,ZH(EN),
TAM,與總活動度,,ZH(EN),
TAMP,和總活動度,,ZH(EN),
biceps brachii,頭肌,,ZH(EN),
GERN,僅測量中立位外旋,,ZH(EN),
